"Model","Gene","Coefficient","Estimate","p.val.t.dist","p.val.perm"
"wnlm.Q","ZNF331","RNA_batchB",-0.169204380311822,0.144340877612558,NA
"wnlm.Q","hsa-mir-335","RNA_batchB",0.251640394026774,0.363575448585143,NA
"wnlm.Q","DIRAS3","RNA_batchB",-2.01707656856737,0.0146765305410089,NA
"wnlm.Q","PWRN1","RNA_batchB",0.535732594961881,0.0385543199667451,NA
"wnlm.Q","IGF2","RNA_batchB",-0.0237977477440348,0.870214964292538,NA
"wnlm.Q","NLRP2","RNA_batchB",-0.26618394859484,0.256707618550183,NA
"wnlm.Q","UBE3A","RNA_batchB",0.602512703935289,0.232457237101284,NA
"wnlm.Q","MAGEL2","RNA_batchC",0.327944444062649,0.113552267647728,NA
"wnlm.Q","TMEM261P1","RNA_batchC",-0.175750500653116,0.552920677176939,NA
"wnlm.Q","SNHG14","RNA_batchC",0.297325104217425,0.141891168835932,NA
"wnlm.Q","AL132709.5","RNA_batchC",0.118361484245417,0.39839584722467,NA
"wnlm.Q","RP11-909M7.3","RNA_batchC",0.394912050633172,0.0157756664708601,NA
"wnlm.Q","ZIM2","RNA_batchC",-0.405130913126657,0.15718933591188,NA
"wnlm.Q","NAP1L5","RNA_batchC",0.339918047727245,0.112748360650481,NA
"wnlm.Q","MEG3","RNA_batchC",0.128802280415918,0.551492706296642,NA
"wnlm.Q","PEG3","RNA_batchC",0.0104559257393761,0.952768841617394,NA
"wnlm.Q","PWAR6","RNA_batchC",-0.15194266167491,0.4883548581598,NA
"wnlm.Q","FAM50B","RNA_batchC",-0.0409852337785073,0.855309942973019,NA
"wnlm.Q","NDN","RNA_batchC",-0.505637734414902,0.269883409801779,NA
"wnlm.Q","SNURF","RNA_batchC",0.156781706546213,0.564381082760164,NA
"wnlm.Q","PEG10","RNA_batchC",0.0965034340424835,0.415286778532824,NA
"wnlm.Q","SNRPN","RNA_batchC",-0.035584223206795,0.884442882347076,NA
"wnlm.Q","KCNQ1OT1","RNA_batchC",-0.0890041833180516,0.622651247290328,NA
"wnlm.Q","ZDBF2","RNA_batchC",-0.0689357210273893,0.709934297357286,NA
"wnlm.Q","GRB10","RNA_batchC",0.0109309004344865,0.933605611052229,NA
"wnlm.Q","SNORD116-20","RNA_batchC",1.16681099608784,0.0308455623520402,NA
"wnlm.Q","KCNK9","RNA_batchC",0.0313087215350292,0.866982675284222,NA
"wnlm.Q","INPP5F","RNA_batchC",-0.0105487014012252,0.902586476096141,NA
"wnlm.Q","RP13-487P22.1","RNA_batchC",-1.00602920387008,0.103879225153705,NA
"wnlm.Q","MEST","RNA_batchC",-0.0243553598476494,0.847766546470653,NA
"wnlm.Q","ZNF331","RNA_batchC",-0.0404969846907478,0.751292807080071,NA
"wnlm.Q","hsa-mir-335","RNA_batchC",0.246359764638205,0.421615754203264,NA
"wnlm.Q","DIRAS3","RNA_batchC",-1.40477264983967,0.0834760834548484,NA
