"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"PMI","KCNQ1OT1","",NA,"",NA,TRUE,0.00245757563573102,0.481012655968561,NA,0.00101383362388592,0.799608955729862,NA
"PMI","ZDBF2","",NA,NA,NA,FALSE,-0.002063795211119,0.628358377694152,NA,NA,NA,NA
"PMI","GRB10","",NA,"",NA,TRUE,-0.00235301847222857,0.411083336451258,NA,-0.0014849716301155,0.648113326437124,NA
"PMI","SNORD116-20","",NA,NA,NA,FALSE,0.00533485301721985,0.614570959000872,NA,NA,NA,NA
"PMI","KCNK9","",NA,"",NA,TRUE,0.00130831344606985,0.756353991111576,NA,0.000130771881694003,0.989031773143284,NA
"PMI","INPP5F","",NA,NA,NA,FALSE,0.000305139243756702,0.8811331640936,NA,NA,NA,NA
"PMI","RP13-487P22.1","",NA,NA,NA,FALSE,-0.00818303535941172,0.58650986079227,NA,NA,NA,NA
"PMI","MEST","",NA,"",NA,TRUE,-0.00395531827172324,0.215534711100075,NA,-0.00239430048165975,0.289197085886757,NA
"PMI","ZNF331","",NA,NA,NA,FALSE,-0.00516908192729477,0.0791595407549924,NA,NA,NA,NA
"PMI","hsa-mir-335","",NA,"",NA,TRUE,-0.011942678401215,0.165568776813118,NA,-0.0049854993653047,0.566511992728638,NA
"PMI","DIRAS3","",NA,NA,NA,FALSE,-0.00187853205622279,0.889966325576343,NA,NA,NA,NA
"PMI","PWRN1","",NA,"***",NA,TRUE,0.0102063522726986,0.0728755134321781,NA,0.0211405330451877,0.000558343879204904,NA
"PMI","IGF2","",NA,"",NA,TRUE,-0.00196612921431441,0.599982892089329,NA,-0.00231978353268484,0.543762531876939,NA
"PMI","NLRP2","",NA,NA,NA,FALSE,-0.00119028168264435,0.831568409362266,NA,NA,NA,NA
"PMI","UBE3A","",NA,"",NA,TRUE,0.0144562923877492,0.107471394853332,NA,0.000669718539596804,0.905520141266072,NA
"DxSCZ","MAGEL2","","",NA,NA,FALSE,0.15380432440789,0.0822857111569504,0.11,NA,NA,NA
"DxSCZ","TMEM261P1","","",NA,NA,FALSE,0.185496137715164,0.0550878435634438,0.0708,NA,NA,NA
"DxSCZ","SNHG14","","",NA,NA,FALSE,-0.0326652759259196,0.743755071050608,0.8042,NA,NA,NA
"DxSCZ","AL132709.5","","",NA,NA,FALSE,-0.0213526642372394,0.772781791128829,0.7958,NA,NA,NA
"DxSCZ","RP11-909M7.3","***","**",NA,NA,FALSE,-0.310703836302283,0.000267428279211366,0.0018,NA,NA,NA
"DxSCZ","ZIM2","","",NA,NA,FALSE,0.150118344787312,0.291824676167505,0.2698,NA,NA,NA
"DxSCZ","NAP1L5","","",NA,NA,FALSE,0.114621633565455,0.311663425229599,0.3912,NA,NA,NA
"DxSCZ","MEG3","","",NA,NA,FALSE,-0.106641894378753,0.310914587190292,0.4524,NA,NA,NA
"DxSCZ","PEG3","","",NA,NA,FALSE,0.031311124265594,0.722786032938327,0.7594,NA,NA,NA
"DxSCZ","PWAR6","","",NA,NA,FALSE,-0.0529522947663192,0.616657446158456,0.6202,NA,NA,NA
"DxSCZ","FAM50B","","",NA,NA,FALSE,-0.143403992163994,0.187646156660833,0.1822,NA,NA,NA
"DxSCZ","NDN","","",NA,NA,FALSE,0.288899514016939,0.128075227208358,0.0602,NA,NA,NA
"DxSCZ","SNURF","","",NA,NA,FALSE,-0.116000202037326,0.346994238935843,0.3734,NA,NA,NA
"DxSCZ","PEG10","*","*",NA,NA,FALSE,0.145555240864572,0.0178440834684363,0.0214,NA,NA,NA
"DxSCZ","SNRPN","","",NA,NA,FALSE,-0.0997715391487601,0.364309713639892,0.437,NA,NA,NA
"DxSCZ","KCNQ1OT1","","","","",TRUE,0.147034744320512,0.11586135551898,0.249,0.146063640832481,0.146131266271893,0.352
"DxSCZ","ZDBF2","","",NA,NA,FALSE,-0.0305974297662538,0.741042969868773,0.7642,NA,NA,NA
"DxSCZ","GRB10","","","","",TRUE,0.025490630545544,0.694573697804246,0.714,-0.0121555603589211,0.872058642292918,0.8888
"DxSCZ","SNORD116-20","","",NA,NA,FALSE,-0.0555884735863175,0.802095649167254,0.8436,NA,NA,NA
"DxSCZ","KCNK9","","","","",TRUE,0.0295574367940823,0.764650897420309,0.7684,0.163074141822112,0.436539907509822,0.4574
"DxSCZ","INPP5F","","",NA,NA,FALSE,-0.041479275491203,0.33781780347667,0.2842,NA,NA,NA
"DxSCZ","RP13-487P22.1","","",NA,NA,FALSE,0.352984277313776,0.311531147534594,0.4494,NA,NA,NA
"DxSCZ","MEST","***","***","***","**",TRUE,0.287108806285806,3.04917311102435e-05,4e-04,0.216204890458642,5.96985706767392e-06,0.0014
"DxSCZ","ZNF331","","",NA,NA,FALSE,0.0710283317810733,0.286348139858172,0.3714,NA,NA,NA
"DxSCZ","hsa-mir-335","","","","",TRUE,-0.287003452570834,0.0761414945357511,0.3516,-0.329465679416799,0.0570196842083028,0.1528
"DxSCZ","DIRAS3","","",NA,NA,FALSE,0.37899473286018,0.285128884069802,0.2928,NA,NA,NA
"DxSCZ","PWRN1","","","","",TRUE,-0.11863310089611,0.386332219865925,0.424,-0.262915627451853,0.0515391065083147,0.1948
"DxSCZ","IGF2","","","*","",TRUE,0.156813793475442,0.135057104596832,0.1216,0.227583459137094,0.0352489391493908,0.0822
